"CL","MO","PA","mean_MR"
1,1,1,0
1,1,2,0
1,1,3,3.79244486032964
1,1,4,0
1,1,5,-2.58244003005408
1,1,6,-13.3443404004798
1,1,7,80.8203278908596
1,2,1,0
1,2,2,0
1,2,3,4.3017040576231
1,2,4,0
1,2,5,-0.771408166815474
1,2,6,-12.4375413339939
1,2,7,69.382241440174
1,3,1,0.0850745070034964
1,3,2,0.230118048319222
1,3,3,6.47692591736737
1,3,4,0.033024083242824
1,3,5,4.38450970692141
1,3,6,-7.15623980190498
1,3,7,88.0658410337956
1,4,1,8.21218605709477
1,4,2,21.7080722186287
1,4,3,11.1369217996316
1,4,4,2.68893655734461
1,4,5,11.3424251796562
1,4,6,-0.330068587551908
1,4,7,95.3376732238176
1,5,1,109.161456891125
1,5,2,285.406949997855
1,5,3,18.1441849186157
1,5,4,33.6919392763887
1,5,5,18.1947967478732
1,5,6,5.63117732310596
1,5,7,100.420340341107
1,6,1,104.905421317983
1,6,2,291.239771107431
1,6,3,25.7312031858521
1,6,4,40.864180462328
1,6,5,22.7091808550086
1,6,6,10.7101310099114
1,6,7,118.000316466931
1,7,1,71.6164098461911
1,7,2,210.382457737112
1,7,3,31.1392271017872
1,7,4,33.7244812381236
1,7,5,25.5265500050313
1,7,6,13.7370793212899
1,7,7,107.331585506741
1,8,1,42.0158646201861
1,8,2,132.168033143442
1,8,3,28.7203297652851
1,8,4,24.21788853061
1,8,5,24.8419635686728
1,8,6,12.8669608279181
1,8,7,104.836221649387
1,9,1,32.9983106260809
1,9,2,107.669419828354
1,9,3,20.5282334559337
1,9,4,20.9860110753707
1,9,5,20.5524259810814
1,9,6,8.43266779062965
1,9,7,100.285919786307
1,10,1,13.9599968664267
1,10,2,47.8935077164242
1,10,3,12.6834602837301
1,10,4,10.1299843596901
1,10,5,13.624402372721
1,10,6,2.62027731144058
1,10,7,112.768721116004
1,11,1,0.52350939737371
1,11,2,2.2681082940882
1,11,3,7.96070042448893
1,11,4,0.62478581672297
1,11,5,6.65404525290426
1,11,6,-2.66236178231813
1,11,7,103.178244530496
1,12,1,0.00000649547226216834
1,12,2,0.0000373981736306656
1,12,3,4.89789196336868
1,12,4,0.0000130696775214539
1,12,5,0.158738386956905
1,12,6,-9.29378370838293
1,12,7,103.41278382261
2,1,1,0.338297855588718
2,1,2,1.54504964312299
2,1,3,8.63511822350013
2,1,4,0.4409777299781
2,1,5,5.29275409589141
2,1,6,-4.14690607516243
2,1,7,142.792921029968
2,2,1,0.0000260212555472321
2,2,2,0.000110619860949655
2,2,3,8.20751774149672
2,2,4,0.0000299579054030918
2,2,5,4.34769950921165
2,2,6,-5.75780545080502
2,2,7,105.824446348599
2,3,1,16.5515748764581
2,3,2,48.619080311988
2,3,3,13.3723862121201
2,3,4,7.82871038106379
2,3,5,9.94540971070607
2,3,6,-0.560237473009949
2,3,7,108.838846964243
2,4,1,132.274144241213
2,4,2,372.807595844629
2,4,3,22.5410059163911
2,4,4,54.2792244484852
2,4,5,18.38636001974
2,4,6,6.96946434370886
2,4,7,98.37086122858
2,5,1,155.826295246377
2,5,2,473.103549637809
2,5,3,36.2336992186932
2,5,4,80.8752752013498
2,5,5,24.1660991884183
2,5,6,11.6459260467607
2,5,7,114.438414000292
2,6,1,104.031291445542
2,6,2,354.116712220266
2,6,3,47.1343232170617
2,6,4,73.1767538464022
2,6,5,30.4346609433816
2,6,6,17.6924260278086
2,6,7,156.690389467062
2,7,1,44.642277178729
2,7,2,191.235528579881
2,7,3,47.9456332908307
2,7,4,51.1250563826676
2,7,5,35.3781156310173
2,7,6,21.9901605935132
2,7,7,120.374179495204
2,8,1,22.9668118765577
2,8,2,119.038222114446
2,8,3,47.9298418135988
2,8,4,36.7019894253712
2,8,5,34.9537471308053
2,8,6,21.7210635605194
2,8,7,118.258124646363
2,9,1,33.2252997857281
2,9,2,147.505860293808
2,9,3,42.7657445326823
2,9,4,40.6774511845576
2,9,5,28.086087303002
2,9,6,16.0999832515554
2,9,7,137.984049516335
2,10,1,42.6944075558483
2,10,2,178.233614187056
2,10,3,30.1179707672256
2,10,4,46.5720281344492
2,10,5,22.4929303166529
2,10,6,10.9727665186863
2,10,7,107.292332661449
2,11,1,16.307374604908
2,11,2,73.3775747166305
2,11,3,15.2348593494056
2,11,4,20.5196615583386
2,11,5,13.3039470709596
2,11,6,3.25938047463551
2,11,7,152.634538473875
2,12,1,0.484921843722093
2,12,2,2.55159668549832
2,12,3,9.58077788988478
2,12,4,0.804822120507921
2,12,5,6.51641571527556
2,12,6,-2.45412151259687
2,12,7,126.488542436131
3,1,1,0.531605511467266
3,1,2,2.45586641529846
3,1,3,8.24234331444663
3,1,4,0.710887671239358
3,1,5,3.50139942676531
3,1,6,-6.48123251086374
3,1,7,159.527519419055
3,2,1,0.0000286194444520991
3,2,2,0.000134633425070397
3,2,3,7.2482482892304
3,2,4,0.0000405081270167952
3,2,5,3.42985179407603
3,2,6,-7.87470227807771
3,2,7,84.3598283623928
3,3,1,4.82786128505639
3,3,2,14.0470469024273
3,3,3,10.3311344519455
3,3,4,2.25140327789088
3,3,5,8.61870336805377
3,3,6,-2.90638291523441
3,3,7,101.386637216651
3,4,1,73.4205596262701
3,4,2,199.751762339726
3,4,3,16.982083519176
3,4,4,26.5882374083302
3,4,5,15.9091194791732
3,4,6,2.83046575189887
3,4,7,92.3778558293361
3,5,1,163.542606282657
3,5,2,474.790579281963
3,5,3,31.4996931381438
3,5,4,74.0021322470279
3,5,5,23.4739651822146
3,5,6,9.30096984918137
3,5,7,108.004272244299
3,6,1,90.9773711130995
3,6,2,287.230454238218
3,6,3,40.5622736672373
3,6,4,52.7874644077645
3,6,5,28.2191904196698
3,6,6,14.5354371889643
3,6,7,130.85087176162
3,7,1,42.9844944810137
3,7,2,157.369031792778
3,7,3,42.939451963227
3,7,4,35.8497850392346
3,7,5,31.2381302618595
3,7,6,17.8029039269509
3,7,7,116.088051571076
3,8,1,28.8614733856882
3,8,2,115.321149926916
3,8,3,41.7585873095793
3,8,4,28.9487198605166
3,8,5,29.2061004635256
3,8,6,15.726518688569
3,8,7,129.082146760685
3,9,1,28.2060450801522
3,9,2,113.049197494244
3,9,3,35.1195544814625
3,9,4,28.4682134026394
3,9,5,25.3392150393354
3,9,6,12.5990849144396
3,9,7,108.849548601506
3,10,1,28.2119110427359
3,10,2,105.467133500851
3,10,3,19.9819654196803
3,10,4,24.6713892949106
3,10,5,18.3207032959905
3,10,6,5.73305521998391
3,10,7,89.6706810787788
3,11,1,4.58367089449737
3,11,2,21.1214944625113
3,11,3,11.6109916775285
3,11,4,6.05371046963844
3,11,5,9.60234172503917
3,11,6,0.0345675106859979
3,11,7,106.235310960799
3,12,1,2.15134009466064
3,12,2,10.8138153577372
3,12,3,10.1642346699965
3,12,4,3.28376722431935
3,12,5,5.69312170200051
3,12,6,-2.97736456564867
3,12,7,149.831549854916
4,1,1,0.151122476656651
4,1,2,0.70479102097407
4,1,3,6.53582331685582
4,1,4,0.207614740549184
4,1,5,3.14040281205205
4,1,6,-6.27149728869965
4,1,7,116.966708955281
4,2,1,0.562891524432219
4,2,2,1.90363396084841
4,2,3,7.06674511097614
4,2,4,0.402994924477332
4,2,5,5.20487417829486
4,2,6,-4.83745552294623
4,2,7,99.6915910992022
4,3,1,13.4028463159453
4,3,2,39.2064599636811
4,3,3,10.8846624578631
4,3,4,6.26239058573804
4,3,5,10.2189723139119
4,3,6,0.398198039493443
4,3,7,133.109347410033
4,4,1,117.841822180739
4,4,2,324.372503524287
4,4,3,17.1192982055569
4,4,4,44.4944288137575
4,4,5,16.4904698641375
4,4,6,4.90127292028599
4,4,7,102.338936997994
4,5,1,158.224563986504
4,5,2,459.421425453039
4,5,3,26.9883321634922
4,5,4,71.6358109951418
4,5,5,24.1864560453692
4,5,6,10.4412235403433
4,5,7,113.084459958215
4,6,1,98.3137294994038
4,6,2,308.217473135317
4,6,3,38.1352404564782
4,6,4,55.9447688418888
4,6,5,29.5508674227147
4,6,6,16.1815450203083
4,6,7,97.0094870675438
4,7,1,32.8262647373408
4,7,2,119.202237119379
4,7,3,39.9484468144826
4,7,4,26.9245865041408
4,7,5,33.3011084651011
4,7,6,19.7614549556577
4,7,7,69.3623099761357
4,8,1,15.6193709548462
4,8,2,69.7604706028702
4,8,3,39.6841397494952
4,8,4,19.4106811939544
4,8,5,32.7383272549479
4,8,6,18.8620868714102
4,8,7,86.6881533016165
4,9,1,20.8000723162579
4,9,2,91.2230887663366
4,9,3,34.6902033712682
4,9,4,24.9611566034743
4,9,5,27.8135769027656
4,9,6,14.7551072113079
4,9,7,110.897373905254
4,10,1,27.6655405748532
4,10,2,109.630182451911
4,10,3,21.9169016518576
4,10,4,27.2992095994419
4,10,5,21.3297414998682
4,10,6,8.665954452288
4,10,7,86.0260149094192
4,11,1,14.0751228923669
4,11,2,62.5542129829929
4,11,3,12.6137973278808
4,11,4,17.3343275473766
4,11,5,12.6817311256456
4,11,6,2.80000117508324
4,11,7,119.690913416275
4,12,1,0.789337741331384
4,12,2,4.04536752759881
4,12,3,7.53971784455822
4,12,4,1.24797063731607
4,12,5,5.2959009749433
4,12,6,-3.29296295404671
4,12,7,108.21080289359
5,1,1,0.435373751442294
5,1,2,1.82364438509729
5,1,3,6.08050606421227
5,1,4,0.490286198381171
5,1,5,2.88671052064804
5,1,6,-6.3987454652261
5,1,7,98.0816077972487
5,2,1,0.0378160096463662
5,2,2,0.137277279113594
5,2,3,6.15814231067961
5,2,4,0.0331472610168137
5,2,5,3.51564686512756
5,2,6,-7.21918660728495
5,2,7,94.267039835238
5,3,1,1.306022405049
5,3,2,3.6804326063259
5,3,3,8.76155318158073
5,3,4,0.548309543502134
5,3,5,8.77674614530251
5,3,6,-2.48081322801089
5,3,7,110.393375770922
5,4,1,47.8759388811489
5,4,2,128.080730059588
5,4,3,13.4644613029288
5,4,4,16.2750927769954
5,4,5,14.0852749671497
5,4,6,1.63375245682768
5,4,7,106.44606227894
5,5,1,172.462521125047
5,5,2,490.677947399272
5,5,3,27.4271705998391
5,5,4,73.026109200305
5,5,5,24.826768679723
5,5,6,10.2650362023918
5,5,7,89.2710499814387
5,6,1,81.3581978961756
5,6,2,252.900750758493
5,6,3,35.9551780920712
5,6,4,45.2417968680802
5,6,5,29.7573418805
5,6,6,15.1041949281744
5,6,7,98.4192823417378
5,7,1,29.5954196685262
5,7,2,113.068196947443
5,7,3,37.8447168781107
5,7,4,27.088379915055
5,7,5,32.8418575113349
5,7,6,18.5089919215301
5,7,7,112.98593782974
5,8,1,23.1958190416541
5,8,2,98.5313516762846
5,8,3,37.2367528779863
5,8,4,26.2196284904798
5,8,5,32.0795295413179
5,8,6,17.843562124874
5,8,7,100.836642109875
5,9,1,28.6957199955437
5,9,2,107.964586685227
5,9,3,27.8068852793309
5,9,4,25.4364812491462
5,9,5,25.8007778346601
5,9,6,12.5794127551213
5,9,7,89.2769994878183
5,10,1,33.2878866921945
5,10,2,120.88146983483
5,10,3,16.5089478082899
5,10,4,27.3025175269493
5,10,5,18.5073555471605
5,10,6,6.15522854566903
5,10,7,96.7636455853299
5,11,1,9.42011659569541
5,11,2,40.6791831136618
5,11,3,10.7407720006566
5,11,4,11.0294405902455
5,11,5,10.9059233579205
5,11,6,1.91361462596912
5,11,7,121.058657940163
5,12,1,0.447344749355477
5,12,2,2.30939233479157
5,12,3,7.62182848725174
5,12,4,0.714278780158174
5,12,5,5.65058309089776
5,12,6,-3.2599550564601
5,12,7,150.082430508063
